"","id","date","tmax","tmin"
"1","USC00273488",2013-09-01,27.2,17.8
"2","USC00273488",2013-09-02,28.3,18.9
"3","USC00273488",2013-09-03,20.6,16.1
"4","USC00273488",2013-09-04,23.3,15.6
"5","USC00273488",2013-09-05,23.9,11.1
"6","USC00273488",2013-09-06,17.8,1.1
"7","USC00273488",2013-09-07,18.9,2.2
"8","USC00273488",2013-09-08,24.4,8.3
"9","USC00273488",2013-09-09,15,0.6
"10","USC00273488",2013-09-10,19.4,3.3
"11","USC00273488",2013-09-11,17.2,8.9
"12","USC00273488",2013-09-12,32.2,15
"13","USC00273488",2013-09-13,26.1,16.7
"14","USC00273488",2013-09-14,17.8,11.1
"15","USC00273488",2013-09-15,15.6,4.4
"16","USC00273488",2013-09-16,19.4,5.6
"17","USC00273488",2013-09-17,13.9,-1.7
"18","USC00273488",2013-09-18,17.8,-0.6
"19","USC00273488",2013-09-19,21.1,0.6
"20","USC00273488",2013-09-20,25,2.8
"21","USC00273488",2013-09-21,24.4,5
"22","USC00273488",2013-09-22,21.7,6.7
"23","USC00273488",2013-09-23,18.3,6.1
"24","USC00273488",2013-09-24,8.9,6.7
"25","USC00273488",2013-09-25,12.2,4.4
"26","USC00273488",2013-09-26,13.3,3.9
"27","USC00273488",2013-09-27,17.8,5
"28","USC00273488",2013-09-28,21.1,2.8
"29","USC00273488",2013-09-29,23.3,3.3
"30","USC00273488",2013-09-30,21.7,2.8
"31","USC00273488",2013-10-01,23.3,2.2
"32","USC00273488",2013-10-02,24.4,4.4
"33","USC00273488",2013-10-03,23.3,5.6
"34","USC00273488",2013-10-04,22.2,2.8
"35","USC00273488",2013-10-05,21.1,3.3
"36","USC00273488",2013-10-06,18.9,5.6
"37","USC00273488",2013-10-07,11.7,7.2
"38","USC00273488",2013-10-08,20,8.9
"39","USC00273488",2013-10-09,14.4,-2.2
"40","USC00273488",2013-10-10,17.8,-1.7
"41","USC00273488",2013-10-11,21.1,-1.1
"42","USC00273488",2013-10-12,23.3,1.1
"43","USC00273488",2013-10-13,16.1,1.7
"44","USC00273488",2013-10-14,13.9,7.2
"45","USC00273488",2013-10-15,16.7,7.8
"46","USC00273488",2013-10-16,18.9,8.3
"47","USC00273488",2013-10-17,15.6,7.2
"48","USC00273488",2013-10-18,19.4,5
"49","USC00273488",2013-10-19,16.1,5
"50","USC00273488",2013-10-20,18.3,3.9
"51","USC00273488",2013-10-21,13.3,1.7
"52","USC00273488",2013-10-22,17.2,1.7
"53","USC00273488",2013-10-23,14.4,-1.7
"54","USC00273488",2013-10-24,10.6,-1.1
"55","USC00273488",2013-10-25,7.2,-0.6
"56","USC00273488",2013-10-26,5.6,-4.4
"57","USC00273488",2013-10-27,7.2,-3.9
"58","USC00273488",2013-10-28,8.9,-2.2
"59","USC00273488",2013-10-29,9.4,-8.9
"60","USC00273488",2013-10-30,7.2,-9.4
"61","USC00273488",2013-10-31,5.6,-3.9
"62","USC00273488",2013-11-01,16.1,-2.8
"63","USC00273488",2013-11-02,20,7.2
"64","USC00273488",2013-11-03,15,-1.1
"65","USC00273488",2013-11-04,3.3,-9.4
"66","USC00273488",2013-11-05,5,-9.4
"67","USC00273488",2013-11-06,8.3,-7.2
"68","USC00273488",2013-11-07,12.8,-5
"69","USC00273488",2013-11-08,11.7,0.6
"70","USC00273488",2013-11-09,3.9,0.6
"71","USC00273488",2013-11-10,3.3,-0.6
"72","USC00273488",2013-11-11,5.6,0
"73","USC00273488",2013-11-12,3.9,-3.3
"74","USC00273488",2013-11-13,-2.2,-7.2
"75","USC00273488",2013-11-14,1.1,-7.2
"76","USC00273488",2013-11-15,5.6,-5
"77","USC00273488",2013-11-16,12.8,-3.9
"78","USC00273488",2013-11-17,15,-6.7
"79","USC00273488",2013-11-18,12.8,-4.4
"80","USC00273488",2013-11-19,15,-0.6
"81","USC00273488",2013-11-20,0,-5
"82","USC00273488",2013-11-21,2.8,-11.1
"83","USC00273488",2013-11-22,5.6,-10.6
"84","USC00273488",2013-11-23,5,-1.1
"85","USC00273488",2013-11-24,0,-8.9
"86","USC00273488",2013-11-25,-8.3,-12.8
"87","USC00273488",2013-11-26,-5,-12.2
"88","USC00273488",2013-11-27,3.3,-5
"89","USC00273488",2013-11-28,8.9,-6.1
"90","USC00273488",2013-11-29,-5.6,-10.6
"91","USC00273488",2013-11-30,-5,-18.3
"92","USC00273488",2013-12-01,-1.7,-18.3
"93","USC00273488",2013-12-02,0.6,-4.4
"94","USC00273488",2013-12-03,2.2,-1.1
"95","USC00273488",2013-12-04,3.3,-2.2
"96","USC00273488",2013-12-05,3.3,-7.2
"97","USC00273488",2013-12-06,6.7,-1.1
"98","USC00273488",2013-12-07,4.4,-1.7
"99","USC00273488",2013-12-08,-1.7,-8.3
"100","USC00273488",2013-12-09,-3.9,-9.4
"101","USC00273488",2013-12-10,2.2,-7.2
"102","USC00273488",2013-12-11,0.6,-12.8
"103","USC00273488",2013-12-12,-3.3,-14.4
"104","USC00273488",2013-12-13,-8.9,-17.2
"105","USC00273488",2013-12-14,-8.9,-22.8
"106","USC00273488",2013-12-15,-11.1,-22.2
"107","USC00273488",2013-12-16,-5,-13.3
"108","USC00273488",2013-12-17,-9.4,-28.9
"109","USC00273488",2013-12-18,-11.1,-28.9
"110","USC00273488",2013-12-19,-2.8,-13.3
"111","USC00273488",2013-12-20,1.7,-5
"112","USC00273488",2013-12-21,3.3,-0.6
"113","USC00273488",2013-12-22,2.8,0
"114","USC00273488",2013-12-23,0,-3.3
"115","USC00273488",2013-12-24,1.1,-5.6
"116","USC00273488",2013-12-25,-4.4,-17.2
"117","USC00273488",2013-12-26,-8.9,-17.2
"118","USC00273488",2013-12-27,-3.3,-11.1
"119","USC00273488",2013-12-28,-1.7,-8.9
"120","USC00273488",2013-12-29,3.3,-7.2
"121","USC00273488",2013-12-30,3.3,-2.2
"122","USC00273488",2013-12-31,1.1,-21.7
"123","USC00273488",2014-01-01,-10.6,-20.6
"124","USC00273488",2014-01-02,-9.4,-18.9
"125","USC00273488",2014-01-03,-15.6,-20.6
"126","USC00273488",2014-01-04,-17.2,-29.4
"127","USC00273488",2014-01-05,-10.6,-26.1
"128","USC00273488",2014-01-06,1.7,-16.1
"129","USC00273488",2014-01-07,11.1,-12.2
"130","USC00273488",2014-01-08,-12.2,-16.1
"131","USC00273488",2014-01-09,-7.8,-16.7
"132","USC00273488",2014-01-10,-6.1,-22.8
"133","USC00273488",2014-01-11,-3.9,-21.1
"134","USC00273488",2014-01-12,8.9,-3.9
"135","USC00273488",2014-01-13,4.4,-2.2
"136","USC00273488",2014-01-14,5.6,-2.2
"137","USC00273488",2014-01-15,4.4,-2.2
"138","USC00273488",2014-01-16,6.7,-3.9
"139","USC00273488",2014-01-17,0,-1.7
"140","USC00273488",2014-01-18,5,-7.8
"141","USC00273488",2014-01-19,2.2,-6.7
"142","USC00273488",2014-01-20,-1.1,-4.4
"143","USC00273488",2014-01-21,-0.6,-21.1
"144","USC00273488",2014-01-22,-13.3,-23.3
"145","USC00273488",2014-01-23,-11.7,-22.8
"146","USC00273488",2014-01-24,-12.2,-22.8
"147","USC00273488",2014-01-25,-11.7,-21.7
"148","USC00273488",2014-01-26,-3.9,-17.2
"149","USC00273488",2014-01-27,-7.8,-18.3
"150","USC00273488",2014-01-28,3.3,-23.3
"151","USC00273488",2014-01-29,-10,-23.3
"152","USC00273488",2014-01-30,-6.1,-22.8
"153","USC00273488",2014-01-31,-2.8,-13.9
"154","USC00273488",2014-02-01,1.7,-10
"155","USC00273488",2014-02-02,2.8,-12.2
"156","USC00273488",2014-02-03,3.9,-6.1
"157","USC00273488",2014-02-04,0,-17.8
"158","USC00273488",2014-02-05,-1.7,-17.8
"159","USC00273488",2014-02-06,-7.2,-17.2
"160","USC00273488",2014-02-07,-6.1,-21.7
"161","USC00273488",2014-02-08,-5.6,-21.7
"162","USC00273488",2014-02-09,-5.6,-15.6
"163","USC00273488",2014-02-10,-2.2,-14.4
"164","USC00273488",2014-02-11,-6.7,-16.7
"165","USC00273488",2014-02-12,-8.9,-26.1
"166","USC00273488",2014-02-13,0.6,-25.6
"167","USC00273488",2014-02-14,-3.3,-18.9
"168","USC00273488",2014-02-15,-1.7,-6.7
"169","USC00273488",2014-02-16,-0.6,-8.3
"170","USC00273488",2014-02-17,-6.7,-16.1
"171","USC00273488",2014-02-18,-6.7,-27.2
"172","USC00273488",2014-02-19,-4.4,-23.9
"173","USC00273488",2014-02-20,1.7,-13.9
"174","USC00273488",2014-02-21,5.6,0
"175","USC00273488",2014-02-22,3.3,-3.9
"176","USC00273488",2014-02-23,7.8,-3.9
"177","USC00273488",2014-02-24,7.2,-4.4
"178","USC00273488",2014-02-25,-3.3,-12.8
"179","USC00273488",2014-02-26,-8.3,-21.1
"180","USC00273488",2014-02-27,-6.1,-22.2
"181","USC00273488",2014-02-28,-6.1,-18.9
"182","USC00273488",2014-03-01,-9.4,-26.1
"183","USC00273488",2014-03-02,-1.1,-25.6
"184","USC00273488",2014-03-03,-4.4,-21.1
"185","USC00273488",2014-03-04,-8.3,-23.3
"186","USC00273488",2014-03-05,-5,-22.8
"187","USC00273488",2014-03-06,-6.7,-28.3
"188","USC00273488",2014-03-07,-0.6,-28.3
"189","USC00273488",2014-03-08,4.4,-24.4
"190","USC00273488",2014-03-09,6.1,-13.3
"191","USC00273488",2014-03-10,-1.1,-12.2
"192","USC00273488",2014-03-11,1.1,-8.3
"193","USC00273488",2014-03-12,5,-5
"194","USC00273488",2014-03-13,0.6,-11.1
"195","USC00273488",2014-03-14,-10.6,-20.6
"196","USC00273488",2014-03-15,0,-21.1
"197","USC00273488",2014-03-16,7.8,-10
"198","USC00273488",2014-03-17,-8.9,-22.2
"199","USC00273488",2014-03-18,-5,-24.4
"200","USC00273488",2014-03-19,3.9,-23.9
"201","USC00273488",2014-03-20,3.3,-17.2
"202","USC00273488",2014-03-21,4.4,-2.2
"203","USC00273488",2014-03-22,0,-11.7
"204","USC00273488",2014-03-23,3.3,-10.6
"205","USC00273488",2014-03-24,-1.1,-20
"206","USC00273488",2014-03-25,-5,-25
"207","USC00273488",2014-03-26,0,-25
"208","USC00273488",2014-03-27,-1.1,-12.2
"209","USC00273488",2014-03-28,1.7,-11.7
"210","USC00273488",2014-03-29,7.2,-2.8
"211","USC00273488",2014-03-30,10.6,0
"212","USC00273488",2014-03-31,2.2,-1.1
"213","USC00273488",2014-04-01,2.2,-2.8
"214","USC00273488",2014-04-02,12.2,-4.4
"215","USC00273488",2014-04-03,10,-6.1
"216","USC00273488",2014-04-04,5.6,-8.3
"217","USC00273488",2014-04-05,7.2,-7.8
"218","USC00273488",2014-04-06,8.3,-0.6
"219","USC00273488",2014-04-07,7.8,-3.9
"220","USC00273488",2014-04-08,15.6,-3.9
"221","USC00273488",2014-04-09,10,3.3
"222","USC00273488",2014-04-10,6.7,-4.4
"223","USC00273488",2014-04-11,15.6,-2.8
"224","USC00273488",2014-04-12,17.2,-2.8
"225","USC00273488",2014-04-13,16.1,-2.2
"226","USC00273488",2014-04-14,6.7,0.6
"227","USC00273488",2014-04-15,23.9,1.1
"228","USC00273488",2014-04-16,18.3,-6.1
"229","USC00273488",2014-04-17,-0.6,-10
"230","USC00273488",2014-04-18,7.2,-8.3
"231","USC00273488",2014-04-19,10,-3.9
"232","USC00273488",2014-04-20,8.3,-6.7
"233","USC00273488",2014-04-21,15.6,-3.3
"234","USC00273488",2014-04-22,23.3,2.2
"235","USC00273488",2014-04-23,19.4,6.7
"236","USC00273488",2014-04-24,8.9,2.2
"237","USC00273488",2014-04-25,7.8,-3.3
"238","USC00273488",2014-04-26,16.1,-0.6
"239","USC00273488",2014-04-27,6.7,2.2
"240","USC00273488",2014-04-28,10.6,2.2
"241","USC00273488",2014-04-29,11.1,3.3
"242","USC00273488",2014-04-30,12.8,2.8
"243","USC00273488",2014-05-01,7.8,2.2
"244","USC00273488",2014-05-02,20,1.1
"245","USC00273488",2014-05-03,14.4,2.8
"246","USC00273488",2014-05-04,18.3,5
"247","USC00273488",2014-05-05,10.6,6.1
"248","USC00273488",2014-05-06,11.7,5.6
"249","USC00273488",2014-05-07,12.2,-2.2
"250","USC00273488",2014-05-08,18.3,-2.8
"251","USC00273488",2014-05-09,21.1,1.1
"252","USC00273488",2014-05-10,12.2,7.8
"253","USC00273488",2014-05-11,26.1,11.1
"254","USC00273488",2014-05-12,21.1,3.3
"255","USC00273488",2014-05-13,25,8.3
"256","USC00273488",2014-05-14,18.3,7.8
"257","USC00273488",2014-05-15,23.3,7.8
"258","USC00273488",2014-05-16,23.9,7.8
"259","USC00273488",2014-05-17,22.2,13.3
"260","USC00273488",2014-05-18,21.7,5
"261","USC00273488",2014-05-19,18.3,1.1
"262","USC00273488",2014-05-20,11.1,3.3
"263","USC00273488",2014-05-21,17.8,4.4
"264","USC00273488",2014-05-22,21.7,8.3
"265","USC00273488",2014-05-23,19.4,11.1
"266","USC00273488",2014-05-24,13.3,10.6
"267","USC00273488",2014-05-25,18.9,8.9
"268","USC00273488",2014-05-26,23.9,10
"269","USC00273488",2014-05-27,21.1,12.2
"270","USC00273488",2014-05-28,14.4,7.2
"271","USC00273488",2014-05-29,13.9,2.2
"272","USC00273488",2014-05-30,21.7,3.3
"273","USC00273488",2014-05-31,20.6,7.2
"274","USC00273488",2014-06-01,20.6,1.1
"275","USC00273488",2014-06-02,25.6,5
"276","USC00273488",2014-06-03,29.4,8.3
"277","USC00273488",2014-06-04,27.8,12.8
"278","USC00273488",2014-06-05,16.7,11.1
"279","USC00273488",2014-06-06,18.3,12.2
"280","USC00273488",2014-06-07,19.4,11.1
"281","USC00273488",2014-06-08,26.1,8.9
"282","USC00273488",2014-06-09,29.4,11.7
"283","USC00273488",2014-06-10,30,13.9
"284","USC00273488",2014-06-11,22.2,7.8
"285","USC00273488",2014-06-12,23.9,8.3
"286","USC00273488",2014-06-13,15.6,11.1
"287","USC00273488",2014-06-14,15,12.2
"288","USC00273488",2014-06-15,19.4,9.4
"289","USC00273488",2014-06-16,21.7,5
"290","USC00273488",2014-06-17,26.1,10
"291","USC00273488",2014-06-18,28.3,15.6
"292","USC00273488",2014-06-19,23.9,10
"293","USC00273488",2014-06-20,22.8,6.7
"294","USC00273488",2014-06-21,18.3,2.8
"295","USC00273488",2014-06-22,20,2.2
"296","USC00273488",2014-06-23,23.3,5
"297","USC00273488",2014-06-24,26.7,9.4
"298","USC00273488",2014-06-25,23.9,14.4
"299","USC00273488",2014-06-26,25,16.7
"300","USC00273488",2014-06-27,21.1,9.4
"301","USC00273488",2014-06-28,27.8,7.2
"302","USC00273488",2014-06-29,28.9,8.3
"303","USC00273488",2014-06-30,30,11.7
"304","USC00273488",2014-07-01,30.6,15
"305","USC00273488",2014-07-02,32.8,18.9
"306","USC00273488",2014-07-03,34.4,17.8
"307","USC00273488",2014-07-04,30,17.8
"308","USC00273488",2014-07-05,20.6,12.2
"309","USC00273488",2014-07-06,23.3,12.8
"310","USC00273488",2014-07-07,27.2,9.4
"311","USC00273488",2014-07-08,26.7,13.3
"312","USC00273488",2014-07-09,29.4,16.1
"313","USC00273488",2014-07-10,26.7,16.1
"314","USC00273488",2014-07-11,23.9,6.7
"315","USC00273488",2014-07-12,26.1,6.7
"316","USC00273488",2014-07-13,28.3,11.1
"317","USC00273488",2014-07-14,29.4,16.7
"318","USC00273488",2014-07-15,28.3,16.1
"319","USC00273488",2014-07-16,25.6,16.7
"320","USC00273488",2014-07-17,23.3,12.8
"321","USC00273488",2014-07-18,23.3,7.8
"322","USC00273488",2014-07-19,25,7.8
"323","USC00273488",2014-07-20,25.6,10.6
"324","USC00273488",2014-07-21,23.3,10.6
"325","USC00273488",2014-07-22,28.3,11.7
"326","USC00273488",2014-07-23,30,14.4
"327","USC00273488",2014-07-24,31.7,16.1
"328","USC00273488",2014-07-25,23.3,7.2
"329","USC00273488",2014-07-26,24.4,9.4
"330","USC00273488",2014-07-27,25,10.6
"331","USC00273488",2014-07-28,24.4,12.8
"332","USC00273488",2014-07-29,20,13.9
"333","USC00273488",2014-07-30,21.7,10
"334","USC00273488",2014-07-31,21.7,7.2
"335","USC00273488",2014-08-01,21.1,10
"336","USC00273488",2014-08-02,27.2,10.6
"337","USC00273488",2014-08-03,25,11.7
"338","USC00273488",2014-08-04,26.1,13.3
"339","USC00273488",2014-08-05,26.7,11.7
"340","USC00273488",2014-08-06,27.2,13.9
"341","USC00273488",2014-08-07,23.3,8.3
"342","USC00273488",2014-08-08,19.4,10
"343","USC00273488",2014-08-09,25,10
"344","USC00273488",2014-08-10,27.8,8.3
"345","USC00273488",2014-08-11,27.8,10.6
"346","USC00273488",2014-08-12,29.4,12.2
"347","USC00273488",2014-08-13,23.9,16.7
"348","USC00273488",2014-08-14,18.9,14.4
"349","USC00273488",2014-08-15,20,6.7
"350","USC00273488",2014-08-16,18.3,8.3
"351","USC00273488",2014-08-17,20,12.8
"352","USC00273488",2014-08-18,18.9,12.8
"353","USC00273488",2014-08-19,18.9,5.6
"354","USC00273488",2014-08-20,25,6.7
"355","USC00273488",2014-08-21,26.1,8.9
"356","USC00273488",2014-08-22,24.4,12.2
"357","USC00273488",2014-08-23,20,14.4
"358","USC00273488",2014-08-24,24.4,8.3
"359","USC00273488",2014-08-25,28.9,10
"360","USC00273488",2014-08-26,30.6,10
"361","USC00273488",2014-08-27,28.9,11.1
"362","USC00273488",2014-08-28,28.3,11.1
"363","USC00273488",2014-08-29,22.2,11.1
"364","USC00273488",2014-08-30,25,7.2
"365","USC00273488",2014-08-31,25.6,11.1
"366","USC00273488",2014-09-01,26.1,14.4
"367","USC00273488",2014-09-02,28.9,12.2
"368","USC00273488",2014-09-03,30,12.2
"369","USC00273488",2014-09-04,24.4,8.3
"370","USC00273488",2014-09-05,27.2,8.9
"371","USC00273488",2014-09-06,31.1,13.3
"372","USC00273488",2014-09-07,29.4,8.3
"373","USC00273488",2014-09-08,21.7,4.4
"374","USC00273488",2014-09-09,23.3,6.1
"375","USC00273488",2014-09-10,20.6,3.9
"376","USC00273488",2014-09-11,22.2,5
